Membership No  Date Joined  Active  
    39713      2018-7-21    no    
    39020      2017-2-23    yes   
    13027      2020-4-10    yes   
    47942      2016-8-14    no    
    14071      2015-5-20    yes   
    41629      2017-4-23    no    
    19484      2020-3-3     yes   
    62798      2016-1-9     no    
    53998      2017-12-12   yes   
    11385      2017-11-20   yes   
    40377      2018-12-10   no    
    50116      2016-1-1     no    
    98639      2018-4-5     yes   
    89653      2016-7-5     yes   
    72149      2015-8-10    yes   
    84344      2020-9-24    no    
    85031      2016-5-8     no    
    88824      2017-3-21    yes   
    56021      2020-9-4     no    
    63515      2018-3-22    no    
